year,state,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
2022,NC,25287,3419921,2323093449,346633399,227049188,221709863,0.639609,102125652,119584211,4038.662238,29.86199155
2022,ND,65805,25557369,9380269753,1539143288,1048205202,1141972061,0.741953,651033975,490938086,9893.381582,25.47343488
2022,NE,79580,20571566,12003463064,970331880,579034099,1528611251,1.575348,1137313470,391297781,14291.44848,55.28570212
2022,NH,75,8142,6363521,469154,306548,188990,0.402831,26384,162606,351.7866667,3.240481454
2022,NJ,955,156883,115752551,9921634,6850436,24003121,2.41927,20931923,3071198,21918.24398,133.4237808
2022,NM,2839,27837694,672679606,133266097,74703998,236428430,1.774107,177866331,58562099,62651.05002,6.389406069
2022,NV,655,37850003,483257033,127733517,68092402,209292912,1.638512,149651797,59641115,228476.026,3.953812025
2022,NY,4557,1164374,817862780,85396577,57445551,50598152,0.592507,22647126,27951026,4969.744569,19.4500444
2022,OH,46465,7341242,5191972859,449591318,279276335,91388050,0.203269,-78926933,170314983,-1698.631938,-10.75116894
2022,OK,18864,7733951,1436845666,337170347,230796835,756235571,2.242888,649862059,106373512,34449.8547,84.02717563
2022,OR,4086,15269208,946649342,120900923,65338268,153215180,1.267278,97652525,55562655,23899.29638,6.395389008
2022,PA,8012,1211943,726112279,87008503,59783230,72271262,0.830622,45045989,27225273,5622.315152,37.16840561
2022,RI,31,1326,1486294,117347,77986,266642,2.272252,227281,39361,7331.645161,171.4034691
2022,SC,8257,1143860,765231516,153143673,103255767,169657433,1.107831,119769527,49887906,14505.21097,104.7064562
2022,SD,53838,18713158,8257934462,1142761969,800061861,1253677781,1.097059,910977673,342700108,16920.71906,48.68112977
2022,TN,10546,2807473,1554018233,144573342,99562962,145970198,1.009661,100959818,45010380,9573.280675,35.96110025
2022,TX,84262,52198723,8445141069,2156438601,1465618499,4634546914,2.149167,3943726812,690820102,46803.14747,75.55217035
2022,UT,1443,21807119,192683947,41100337,22256789,72328683,1.759807,53485135,18843548,37065.23562,2.452645625
2022,VA,7822,1226387,741356928,100828704,66914510,49708184,0.492996,15793990,33914194,2019.175403,12.87847148
2022,VT,293,86301,42629941,4345043,2824484,2050562,0.471931,530003,1520559,1808.883959,6.141330923
2022,WA,11669,5211331,3402015270,207934030,107177705,224476746,1.079557,123720421,100756325,10602.48702,23.74065685
2022,WI,32972,5393941,3934649364,403485716,269191338,70020382,0.173538,-64273996,134294378,-1949.350843,-11.915962
2022,WV,301,52224,30234027,3700549,2412301,2069265,0.559177,781017,1288248,2594.740864,14.95513557
2022,WY,2044,14359844,284247931,43783160,24394823,56343097,1.286866,36954760,19388337,18079.62818,2.57347921
