,year,state,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
182,2017,NV,233,4554715,59039995,9023910,5001969,3026680,0.335406,-995261,4021941,-4271.506438,-0.218512245
183,2017,NY,4449,1081357,537598106,52575871,34403595,73188760,1.392059,55016484,18172276,12366.03372,50.87726255
184,2017,OH,42314,7033349,3195439691,267415210,161281648,92498914,0.345899,-13634648,106133562,-322.2254573,-1.938571227
185,2017,OK,19881,6324994,791831598,175456802,115938197,86798898,0.494702,27280293,59518605,1372.179116,4.313093894
186,2017,OR,3003,1496749,386219748,31270379,17319444,20659203,0.660663,6708268,13950935,2233.855478,4.481892422
187,2017,PA,8486,1183592,468051436,58726714,39685596,22985507,0.391397,3944389,19041118,464.8113363,3.33255801
188,2017,RI,28,1097,1143583,87575,61604,182642,2.085549,156671,25971,5595.392857,142.8176846
189,2017,SC,5370,1144391,436094442,74658712,50095917,55891134,0.748621,31328339,24562795,5833.955121,27.37555521
190,2017,SD,50814,17437787,4671487060,663415812,469972383,352044329,0.530654,158600900,193443429,3121.204786,9.095242418
191,2017,TN,11258,2783307,914019852,104920875,70869382,44275429,0.421988,10223936,34051493,908.1485166,3.673305173
192,2017,TX,70940,39359884,4616778653,963075890,654647231,751094769,0.779891,442666110,308428659,6240.007189,11.24663147
193,2017,UT,430,803813,34498008,4156137,2616498,8546981,2.056472,7007342,1539639,16296.14419,8.71762711
194,2017,VA,6546,1204338,484148866,66303054,43775749,33124812,0.499597,10597507,22527305,1618.928659,8.799445837
195,2017,VT,344,70882,24520816,2961949,1942404,4567001,1.54189,3547456,1019545,10312.37209,50.04734629
196,2017,WA,11552,3221892,2310262778,125635271,69982506,71748152,0.571082,16095387,55652765,1393.298736,4.99563207
197,2017,WI,31756,5283819,2350671959,229023424,149865357,101647670,0.44383,22489603,79158067,708.2001197,4.256315934
198,2017,WV,343,51346,19418014,2132479,1418060,515142,0.241569,-199277,714419,-580.9825073,-3.881061816
199,2017,WY,2072,2470837,128124072,17029229,9784090,10401686,0.610813,3156547,7245139,1523.430019,1.277521342
200,2018,AK,16,6759,793124,79666,64136,96707,1.213905,81177,15530,5073.5625,12.01020861
201,2018,AL,6351,1353384,511699243,67069861,45412414,49990124,0.745344,28332677,21657447,4461.136356,20.93469185
202,2018,AR,16116,5313517,1768265745,131853344,92140702,122854158,0.931748,83141516,39712642,5158.942417,15.6471723
203,2018,AZ,1198,24358814,628708078,129457110,71202090,155840165,1.203797,97585145,58255020,81456.71536,4.006153378
204,2018,CA,22169,6669486,7771582477,377087146,229636318,294345164,0.780575,146894336,147450828,6626.114665,22.0248361
205,2018,CO,14505,7104953,1058428383,163864114,98862784,143906145,0.878204,78904815,65001330,5439.835574,11.10560689
206,2018,CT,213,18364,28059715,6516095,4094220,2085475,0.320049,-336400,2421875,-1579.342723,-18.31844914
207,2018,DE,1412,319927,108266789,8881765,5408817,7659191,0.86235,4186243,3472948,2964.761331,13.08499439
208,2018,FL,4567,2163806,933953142,72973722,42477555,203826828,2.793153,173330661,30496167,37952.84892,80.10452924
209,2018,GA,14196,2699967,1463098980,171023753,109777631,378121910,2.210932,316875788,61246122,22321.48408,117.3628374
210,2018,HI,115,28461,93281448,1045166,638482,1234918,1.181552,828234,406684,7202.034783,29.10066407
211,2018,IA,119874,21813914,11947363198,625280785,336063811,326905407,0.522813,37688433,289216974,314.4003954,1.72772447
212,2018,ID,5242,2599453,903667942,56372436,30959209,24780852,0.439591,-632375,25413227,-120.6362076,-0.243272335
213,2018,IL,118391,19390470,10563561797,646217972,368747684,104630432,0.161911,-172839856,277470288,-1459.907054,-8.913649643
214,2018,IN,45106,9538681,5025094276,352339689,198653049,77907290,0.221114,-75779350,153686640,-1680.028156,-7.944426488
215,2018,KS,112983,19292383,4561493642,605093262,377248819,341118767,0.563745,113274324,227844443,1002.578476,5.871453205
216,2018,KY,16088,3472093,1524207772,144211796,92842500,111811088,0.775325,60441792,51369296,3756.948782,17.40788395
217,2018,LA,7211,2863471,1093701492,79424795,56582383,83783382,1.054876,60940970,22842412,8451.11219,21.28220261
218,2018,MA,439,26102,38629402,3587040,2314357,1481059,0.412891,208376,1272683,474.6605923,7.983143054
219,2018,MD,4074,851826,295526508,28666132,18219154,20356480,0.710123,9909502,10446978,2432.376534,11.6332467
220,2018,ME,440,109013,78778974,10772895,7158197,5388878,0.500225,1774180,3614698,4032.227273,16.27493969
221,2018,MI,20236,4121763,1822075401,155994020,102983499,88478696,0.567192,35468175,53010521,1752.726576,8.60509811
222,2018,MN,76242,17574088,8276280847,574922604,354254863,365129668,0.635093,144461927,220667741,1894.781446,8.220166361
223,2018,MO,51386,9740251,3490292769,383120155,251019510,265285910,0.692435,133185265,132100645,2591.858969,13.67369948
224,2018,MS,7487,3744505,1321027889,124596227,89516885,84839539,0.680915,49760197,35079342,6646.213036,13.28885847
225,2018,MT,13604,10174674,1126156055,171100809,104880103,113046298,0.660699,46825592,66220706,3442.045869,4.602171234
226,2018,NC,17283,3414710,1606543743,185529173,119258125,356084237,1.919289,289813189,66271048,16768.68536,84.87197712
227,2018,ND,53109,23581332,5867282699,874422325,599393597,328547474,0.37573,53518746,275028728,1007.71519,2.269538718
228,2018,NE,81015,17962067,7392700147,518605909,303084928,172186931,0.332018,-43334050,215520981,-534.889218,-2.412531364
229,2018,NH,69,8484,4707963,497331,325928,295856,0.594887,124453,171403,1803.666667,14.66914191
230,2018,NJ,985,153659,78930760,5862862,4222039,9732060,1.65995,8091237,1640823,8214.453807,52.65709786
231,2018,NM,1795,8617891,319792025,50897382,30232846,61037607,1.199228,40373071,20664536,22491.96156,4.684797127
232,2018,NV,234,8017549,128335003,26541141,14629313,32185816,1.212676,20273988,11911828,86640.97436,2.528701477
233,2018,NY,4376,1086774,589410016,55231857,36324373,25736315,0.465968,6828831,18907484,1560.518967,6.283579659
234,2018,OH,41701,7029893,3243320976,238444472,145325246,56549019,0.237158,-36570207,93119226,-876.962351,-5.202100089
235,2018,OK,18713,6330313,873687305,185064012,123285427,201671453,1.089738,139892868,61778585,7475.705018,22.09888642
236,2018,OR,3020,3037661,441890934,37111887,20943497,29723545,0.800917,13555155,16168390,4488.461921,4.462365945
237,2018,PA,8148,1162776,472625758,55722587,37659187,42851261,0.76901,24787861,18063400,3042.20189,21.31782992
238,2018,RI,30,1290,1219662,102938,69117,128459,1.247925,94638,33821,3154.6,73.3627907
239,2018,SC,5163,1140974,452963282,77855592,51910811,97475303,1.252001,71530522,25944781,13854.44935,62.69250833
240,2018,SD,50315,18265605,4718967844,592050402,417865017,271427144,0.458452,97241759,174185385,1932.659426,5.323763379
241,2018,TN,10641,2831494,957525764,89760563,61047947,51393660,0.572563,22681044,28712616,2131.476741,8.010274435
242,2018,TX,70713,38034812,5162895142,1145035596,781329112,1641892480,1.433922,1278185996,363706484,18075.68617,33.60568723
243,2018,UT,581,5282086,72603905,13487216,7531648,17402792,1.290317,11447224,5955568,19702.62306,2.167178649
