year,state,policies_prem,acres_insured,liabilities,premium,subsidy,indemnity,loss_ratio,net_benefit,farmer_premium,benefit_by_pol,benefit_by_acre
2020,MS,7511,3889110,1373090907,124371455,86014519,148590245,54.874805,110233309,38356936,14676.24937,28.34409646
2020,MT,12670,10881566,1014457421,156190532,95565314,56080195,79.450302,-4545023,60625218,-358.7232044,-0.417680966
2020,NC,24278,3459191,1631594858,217086770,138779886,334199745,108.987639,255892861,78306884,10540.1129,73.97477069
2020,ND,52808,23359926,5419524609,862886212,587436979,1033028553,34.390206,757579320,275449233,14345.91956,32.43072431
2020,NE,76580,17774152,7505949799,513129595,303929177,211537026,29.341894,2336608,209200418,30.51198746,0.131461011
2020,NH,74,8271,4713592,446685,291484,255747,2.25958,100546,155201,1358.72973,12.15645025
2020,NJ,953,149625,81312802,5998570,4230239,2484581,10.354384,716250,1768331,751.5739769,4.786967419
2020,NM,2078,17136209,401926831,69539010,39178736,133961988,55.2844,103601714,30360274,49856.45525,6.04577792
2020,NV,387,25156487,316757540,79273195,42635766,151965392,7.136406,115327963,36637429,298005.0724,4.58442242
2020,NY,4504,1071221,579615713,55768577,36640305,35662405,29.728068,16534133,19128272,3670.988677,15.43484771
2020,OH,43918,7193810,3306217777,234031492,142767204,81211500,20.401436,-10052788,91264288,-228.8990391,-1.39742195
2020,OK,17452,6698612,788980684,158982976,104700419,105242868,43.795079,50960311,54282557,2920.026988,7.607592588
2020,OR,3403,8165128,587822777,62135698,34704341,87469305,66.149768,60037948,27431357,17642.65295,7.352970829
2020,PA,7872,1152724,473442902,54012740,36398096,65202413,49.381239,47587769,17614644,6045.194233,41.28288211
2020,RI,31,1297,1294858,107110,70733,338530,31.638098,302153,36377,9746.870968,232.9629915
2020,SC,7614,1156611,499253881,94793053,60916379,100772046,48.156923,66895372,33876674,8785.838193,57.83739909
2020,SD,47953,16423250,4572872621,595098886,421363290,497845742,22.859746,324110146,173735596,6758.91281,19.73483604
2020,TN,10836,2894082,980475495,86299314,58493702,60501468,50.691065,32695856,27805612,3017.336286,11.29748777
2020,TX,69142,42437657,4768895219,1011927482,675651542,1528008887,110.773368,1191732947,336275940,17236.02075,28.0819685
2020,UT,944,12945409,115771189,23768912,12909858,54075531,28.751004,43216477,10859054,45780.16631,3.338363199
2020,VA,7617,1208243,501694921,62222656,40326460,65279770,75.120758,43383574,21896196,5695.624787,35.90633176
2020,VT,286,74720,26548737,2789064,1823182,2147984,24.054514,1182102,965882,4133.223776,15.82042291
2020,WA,10857,4931011,2686085500,149929685,82413797,118339203,83.514854,50823315,67515888,4681.156397,10.3068752
2020,WI,30385,5180974,2441506996,212134939,140396173,72202884,55.467847,464118,71738766,15.27457627,0.089581225
2020,WV,317,53977,21411861,2492509,1638127,2431984,5.868396,1577602,854382,4976.662461,29.22730052
2020,WY,1884,7292941,168356205,23765581,13384671,30030708,14.402053,19649798,10380910,10429.82909,2.694358559
2021,AK,13,5118,762207,93555,74497,68815,15.646241,49757,19058,3827.461538,9.721961704
